grade,term,lgd_mean,lgd_std,n,lgd_median
A,36 months,0.943,0.0998,5900,0.9878
A,60 months,0.9507,0.1195,307,1.0
B,36 months,0.9396,0.0854,19147,0.9597
B,60 months,0.9411,0.0959,3884,0.9978
C,36 months,0.9332,0.0883,24394,0.9478
C,60 months,0.931,0.0869,13035,0.9428
D,36 months,0.9298,0.0945,14473,0.9475
D,60 months,0.9248,0.0934,11858,0.9355
E,36 months,0.9252,0.0995,5059,0.946
E,60 months,0.9151,0.0985,10226,0.9197
F,36 months,0.9185,0.1077,1180,0.94
F,60 months,0.9087,0.1041,4933,0.9106
G,36 months,0.9167,0.1121,323,0.9353
G,60 months,0.9062,0.0996,1596,0.9034
